numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,triangle_limit,startGraph,prune_limit,other_limit,rcutoff,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_uinvite,time_uinvite,bestgraph_uinvite,hit_uinvite,miss_uinvite,fa_uinvite,cr_uinvite,ll_uinvite,cost_rw,time_rw,bestgraph_rw,hit_rw,miss_rw,fa_rw,cr_rw,ll_rw,cost_fe,time_fe,bestgraph_fe,hit_fe,miss_fe,fa_fe,cr_fe,ll_fe,cost_windowgraph,time_windowgraph,bestgraph_windowgraph,hit_windowgraph,miss_windowgraph,fa_windowgraph,cr_windowgraph,ll_windowgraph
6,0.3,steyvers,1,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-455.467047734,,,,164.0,0:00:01.568900,:q`_OSMDCApGc?L@@`O{CNGf?@k?AA@rWKKGJhTO_c]P`CwGGlABA`XEEJcaqs[USIeRSgUSKRRK?YOGchC?gXNP?gmISKo?ogsZMqaPuEKGFwx[w]QqrPmMLIdstqYSOOOpTRIQQAxhMgaa@h?q]Rq@Pk{hVOqa@EcabSaTSk,75,98,66,986,-297.58763993,166.0,0:00:00.009024,:q`_OSMDCApGc?L@@`O{CNGf?@k?AA@rWKKGJhTO_c]P`CwGGlABA`XEEJcaqs[USIeRSgUSKRRK?YOGchC?gXNP?gmISKo?ogiYLfXPGzBECB{[m[NHXXgvFEdQyYxLIGGGWihdHH@[sfSPP?s_XNHx?gu]RiTsKg_PhGgtGdTJN,75,98,68,984,-297.836349789,168.0,0:00:00.000689,:qa_hWEoAv@]@R,5,168,0,1052,-inf,171.0,0:00:00.069931,:qo`IeghkQZbXzRpT^,5,168,3,1049,-inf
6,0.3,steyvers,1,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-547.472338738,,,,165.0,0:00:02.071261,:q`_OSM?Aa@WcKH?B@wGKIF_`xCw?L_?OOMZ@EbwWOVQdOO_c]P`Bq[CCKJO_ogUKGo?WmQJJPpXOiUKegOgUSKRRK?ALGCQSa?SKfg_SVDIEW?WSYLfXPGzBECB{[m[NHWwksZa`phSmbRVHhOm____pTRBDCCc_mYRiGg_YXNHx?gu]SjgXP?bQPPhPGdTJN,85,88,77,975,-385.462839482,167.0,0:00:00.007848,:q`_OSM?Aa@WcKH?B@wGKIF_`xCw?L_?OOMZ@EbwWOVQdOO_c]P`Bq[CCKJO_ogUKGo?WmQJJPpXOiUKegOgUSKRRK?ALGCQSa?SKfg_SVDIEW?WSTLErkgc\`bA@}MVMFck[UYLpOwsiVPhjcsgVOOOOWQTSopP@HGJecyaIGEcBHxNGDErq\Qm`dCALHDEdCaTSk,86,87,80,972,-385.920615762,167.0,0:00:00.000457,:qa_hWEiCk?loV_S,6,167,0,1052,-inf,169.0,0:00:00.058420,:qjB{?AHSbXpEghHqZ`@k|hwin,9,164,5,1047,-inf
6,0.3,steyvers,1,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-634.176960421,,,,159.0,0:00:02.318277,:q`_OS?F?@P?kQEC_@_{CECAoO{a[?Eo?GGF?EoPg}ECDshSCGHFcWO{f@@BAsGKIDbAK?EJcaqXYMJIDQpctADAqXOpLKo?Gs_PHQAc?MSKERsOIJGpQ`e?EDEbXuSQMop`?~FJfBqDJFDeb[CIFEdQyLL@@FGO[YSJgGGGKT`aaAQIGDdrQ\PDCBRHxNDCAbXxQmiGCaqILIFcaTSk,96,77,82,970,-474.538565588,164.0,0:00:00.009020,:q`_OS?F?@P?kQEC_@_{CECA`wG]PM?BW?CCB_BWGs^BAAySiACCbqKG]R__``YCEDAp`E?BDqPXKlFDdAhWqY`A`XKgWeeW?CYOGch@Q?FIEBHyGDDcWhOr?BAahgu\dCbkKWONpqxo{`QppXgv@A`phSmbROOPqCFEdAyAAABAQieEIGHGg_UVLHtCSOLGERq]IGDBRXxMhVOqa@EcUPPhO{cQidf,98,75,89,963,-476.021773249,166.0,0:00:00.000453,:qa_hWE_?i`J?J[DwDN,7,166,0,1052,-inf,163.0,0:00:00.068469,:qj_ZPMl^COKPQLfCE|PP@HuarS_ufstLV,15,158,5,1047,-inf
6,0.3,steyvers,1,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-712.50530374,,,,158.0,0:00:03.496866,:q`_OS?F?@?w_UHBAO?o]ACAoO{a[?Eo?GGF?EbgGs^BAAyHIGI_`@G{bAFcwGGWU`@`GgUKGo?WmQJHCqs[SJIDQpctADAphKhLKo?Gs_PHQAHQ?FIEBHyGDDfwhOr?BAbPkzIHFWWOKKGFwx[s[NGSk[UYLoOg[YTJgssCC[NO_wsgVOHgGGKT`aaAQIGDdrQ\PDCBRHxNGDErqdSmdDCAPXDEdBqPIiU^,103,70,88,964,-561.646353862,163.0,0:00:00.010441,:q`_OS?F?@?w_UHBAO?o]ABA@O{CNGf?@k?AA@o@gyALFoo_maQaAgGOQNGo`xMAAEDgOWQIDbAK?EJcaqPKlFDAq`SkXLO`OkYRIEHhe?@EcAHIOPIO?xOoXNP?gka^adBK?KIIebXuSQMoo_WWONpqxgw]OhWwksZ_`OwsiVPhgGGw]`@phOm_ROOOWQTSopP@HDCAqxhMgaa@h?q]RpP?gYZNHtIh\BDDCALGkabQ`xGdTJN,107,66,97,955,-564.681012712,165.0,0:00:00.000494,:qa_hWE_?i`J?J[DR{Af,8,165,0,1052,-inf,155.0,0:00:00.081271,:qc`ho?Z@@rYpMlYDcyt{P?pDGu[OZtDCCfHJLQBY]{hiYn,24,149,6,1046,-inf
6,0.3,steyvers,1,50,0.7,0.0,stationary,9,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-801.835782543,,,,159.0,0:00:03.288180,:q`_OS?F??__[OJCa@w?WN@A@WG]EG_O@k?AA@o@gyAKEbwWOVPHP@SCGHFo`xMAAEDgOWQIDbG?KVHDcqs[SJIDQpctADAphKh?EeW?CYOGcb[_aS_@q`_q]a@PXCu^adBK?CEDDRPky`dCbkKGEECB{GKFJeb`xJFDeb[CIFEdsYYAAMFgO[YSJgCsCCEIoo_g_ccA`X[sfSPP?sq]RpP?gu]Sidsgg_QJGgsg\NHCihX,108,65,94,958,-652.515631357,168.0,0:00:00.011565,:q`_OS?F??__[OJC``?{?KF__o_SN@BopCA?L_?OOM?LFOP_s^BAAyHIGI_`@G{bAFcwGGWU`@`GgUKGo?WmQJHCqs[SJIDQpctADAphKgW_BRK?ALGCQPmOPIO?xOoXNP?gkaZNpQ`e?ABAahgu\OqaPuECBBA@}CEBdrPo{`QppXgv@A`phSmbROOPo|ABbQ`\?e___ocih``@P@HDCA`X[sfSPP?s_XNHwg_SLFdRXxMhTJgWgg_PhDcSYSMfcaTSk,113,60,108,944,-657.279962754,165.0,0:00:00.000491,:qa_hWE_?i`J?J[DR{Af,8,165,0,1052,-inf,159.0,0:00:00.098020,:qc`ho?ZBetPLMlECu`XMl_?WaeOzfCE|PP@Hua@XiOZRyYePSo,23,150,9,1043,-inf
6,0.3,steyvers,1,50,0.7,0.0,stationary,10,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-889.747557443,,,,149.0,0:00:04.615552,:q`?GGI?B_?OOMGD`@?sON?BOO_UAF``PC?R?Eo?GGEE_BPsCWLFoo_mAJGcg?OT@AAP{G]R__``YCECa`Wq?BDbhGkcRJPpOkgTJERSGSJHeG?s_X_?Ph?aQLqAHQ?FIEBHyGDDer{SgX_?_ogsZMgXPGg\``?oo_^`@`p[s[NGSk[sZ_`Ows_VNGssCC[MfgO[YSJgGGGjBAAaAQOIDdsyaIGEeRq]IILfdIh\IIGCaqILIFRqPIiU^,117,56,93,959,-748.171175715,173.0,0:00:00.012780,:q`?GGI?B_?OOMGD`@?sKGF_@_{CECA`wG]EDCO@K?Z??__WY?LFOP_s^BAAwGkaQ_@@SCGHFcWO{f@@BAsGKHDAp`E?BDbhGkcRJPpOkgTJERSGSJEcq`a?LGEW?CYOGcb[_aS_@q`_q]a@PXCu^adBK?CEDDRPky`dCa`uECBBA@}CEBbaxgw]OhWwksZ_`Ows_TJfcYYAAJfBhyCFEdAy@L@@@?ocih``@P@?caa@OkmYRiGg_YOKfc{SOIEbqhk{fSidsKSSOGsaqILIFRqPIiU^,120,53,120,932,-754.668623912,164.0,0:00:00.000466,:qa_hWEJO?TOd_DmAh}@R,9,164,0,1052,-inf,160.0,0:00:00.107179,:qb?hGY]@@rYgefUbU`\ZCSraB]gg_czP?ktGLh|LPHcTKN,21,152,8,1044,-inf
6,0.3,steyvers,1,50,0.7,0.0,stationary,11,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-988.30185351,,,,142.0,0:00:07.527613,:q`?GGI?B_?OOMGD`?o_YGF_@gGKGD_ooga?ABO@k?AA@`g?s\@EBwWOV@DcQS?GDDOO_c^AHoOOolABAPOkX?@apscURJPpOkgTJEWOgUW_BRK?ALGCQPmOPIO?x_q]a@PXCu^a@Q`e?EDCQPgu\gca`uECBBA@}CEJeb`xAdbebXuADBbQxxEe__b`uCLIDsCCCTaAaAQOIDdsyaIGEeRq]SMLfcydSmdDCAPXDIFBhxGdTJN,118,55,87,965,-842.732954738,183.0,0:00:00.014008,:q`?GGI?B_?OOMGD`?o_YECBo?o]ABA@O{CNBAaG?GKH_BW?CCBBO@gyAKEbwWOV@DcQS?GDDOO_c]P`Bq[CCKJO_ocSJECW?KUMcaqPKlFDAq`SkXLO`OkYRIEG?s_X_?Ph?aQLqAHQ?FIEBHyGDDcRX}GDIEW?GKIGcahgu\OqaHGg\``?oo_XNo_o[[VLFBqDJFDebXuADBbQ@Sm\NGssCCVMFRsGMLIDsAYAAA@`HTR?@`@P?}_QPP?gUVLHtCSOLGERq]IGDBPo{iZNHtIh\@@aaa@EcUPPhOw\NHCihX,123,50,133,919,-852.419066743,163.0,0:00:00.000465,:qa_hWEJO?T@SQoAv@S~?h,10,163,0,1052,-inf,158.0,0:00:00.120366,:q`_WoGHHBR_CCFQDtPLMlECu`XMlaIXa{_vhMTCCfYGDedC_ufstCePSo,26,147,11,1041,-inf
6,0.3,steyvers,1,50,0.7,0.0,stationary,12,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1074.21403409,,,,152.0,0:00:10.284322,:q`?GGI?B_?OOMGD`?o_YGF_@gGOJ@``PC?CEeo?GGEE_BPsCCKFoo_WV@DcQS?GDDOO_c^@@CwGGWU`@`GgUK_?pscUUba`XOiUKegOgUW_BQ`e?@EcAHGvGGdG?[oXNP?gkaZNp?g{gX_@`PCcTLFRsgaQIFWWOKKGFwO[[VLFBqDJFDebXtD@A`ph[{bROOPozAEdAxl@@@DWWOSOQQ@OkmfSPP?s_XNHxOwu]RiTQySSOHDcSg[NFsaTSk,118,55,97,955,-933.767414767,188.0,0:00:00.015306,:q`?GGI?B_?OOMGD`?o_YECBo?o]ABA@O{CNBAaG?GKH_BW?CCBBO@gyAACB@g}ECBAwGkaQ_@?giACCbqKCCNHoOOolABAPOkWP_?pWyQJHCqs[SJIDQpctADAphKgW_BQ@Or??bQ@CcZcCQc?MSKERsOIJGer{OINIEW?GKIGcahgu\NGXPCcSMoo_WWOKfwOWMMJeb`xAdbarPkya_`Ows_TJfRqLL@@Dr`s|ABbQ`[u_ROOOOKHIiW?KGIGFsAQ?DCA`X[sfSPP?s_XNHwg_SJEb`xSu]RiTQyABDDCALGkabQ`oy]NhCihWn,127,46,142,910,-946.805025696,162.0,0:00:00.000468,:qa_hWEJO?T@SQoAmdLoTNoI^,11,162,0,1052,-inf,155.0,0:00:00.131329,:q`_WoGHHBR_CCFLiaY\YKHlAyt{OP_WaeOTeJqB]cxSOQ[cktGLh|LPHcT^,28,145,10,1042,-inf
6,0.3,steyvers,1,50,0.7,0.0,stationary,13,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1152.16086241,,,,132.0,0:00:17.351036,:q`?GGI?B_?OOMGD`?o_YN?BOOWOJ@``PC?CEbBWGGEE_@PgyAAEOo_WV@DcQS?GDDOO_c^@HoOOolABAPOkX?@bg_cURba`XOkXLO`Okp?AbQ`e?@EcQPOvGGdG?[oXNO__SUZNp?hOrEDCQhgy]PQaHGg\``?oo_^`@`X[w]QppXkz@A`ph\Ee__bcGYSJesCGjCDCCc?CGDAsyaIGEcBHxNIFErq\QiVQaa@GkabQ`o{cTJN,123,50,82,970,-1028.56700445,190.0,0:00:00.016650,:q`?GGI?B_?OOMGD_?_WOLBA@w?WN@@`?g]AF``PC?CECo?ou?@@?os?ILFOOO_WLFoOWOKJ_aqHI?CAagGOQNGoOO{f@@BAsGKHDAp`E?BDbg_cUQHdgwgUSIdbHiCIDbQXOp?AbQ@Or??bQ@CcSLqAHQ?FFDB@c|AA@PXCu^a@PxOr?@@`PCcTLErhxAadCQPOzBA@``?q^`@_wk[VLFBqDJFDebXtD@A`ph?iVMfcYYAAJfBhyAABbQ`[u_ROOOOKHIiW?KGIGDBy@H?@@P?gUQJecyaIGEcBHxN?Aa@OkYMFdRXxMhTJgGKSSOGsaqILIFBhw}aQHTQp[n,135,38,152,900,-1048.70822474,161.0,0:00:00.000499,:qa_hWEJO?T@SQoAmdKxn[DR{Af,12,161,0,1052,-inf,147.0,0:00:00.143347,:q`_WoGHHBR_CCFLhaygefUbAZOkfUkV`hAOP_E[PRGIIXa{_vhMTCCfHJLQBHlNhdDCej,36,137,10,1042,-inf
6,0.3,steyvers,1,50,0.7,0.0,stationary,14,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1248.23433446,,,,132.0,0:00:15.745063,:q`?GGI?B_?OOMGD___WOLF_@gGOJ@Booga?ABO@kCCBBO?gs\@EBwGKGEDoPXCd?A@P?iACCbwHMAAEDgOWQIDbG?MQJHppOkgTJERSGSJKO?gkYS_?PGsaQIEx@Ch?Bbb@c|AA@PX}GDIERkOKIGdRPs{adCQPuECBBB{GKJEDr`yMJLggGSMLJgssCC[`BQ`\@@@DW_h?c_?`?gUfSOog_YOKfc{wu]RiTQySSQJGhOw]NgcaTSk,125,48,84,968,-1122.08392964,197.0,0:00:00.017769,:q`?GGI?B_?OOMGD_?OOKGE``?{?KF__o_SN@Booga?ABAW?WZ??__WY?DEbgGGOKEbwGKGEDoPW{aQ_@?g_T@AAPxEAAFcwGGWU`@`GgUKGo?Wk\CCaphGeUba`XOiUKegOgULHdBC?IJEcA`e?@CbQ@CcSLqAHQ?FFDB@cu]`@?gkaZNp?g{gXMo?OOKIGcahgu\NGSSgaQIFWWOKKGER{GKFDb@p[s[NGSk[UYLfSSCIFEcAh[y]PhgGGm[MfgGGMLIDrY@L@@@?ocaTLiW?KGIGDBy@H?@@P?gUQJecyaEDCBQ@c{f_@P?gULFBqhk{fSidsCEIIGCYPXDEdB`s{^PHCihWmV~,138,35,162,890,-1148.61273458,160.0,0:00:00.000501,:qa_hWEJO?T@SQmA`VQe[vmAh}@R,13,160,0,1052,-inf,144.0,0:00:00.159416,:q`_WoGHHBR_?uAB_BPtSRR`DgoesJHtjDwYOcCW@fGIIXp@nQ[iGHMQUYcERY^RIIHLV,38,135,9,1043,-inf
